iteration	traits	posterior_prob	regional_prob	candidate_snp	posterior_explained_by_snp	dropped_trait
11	hct, hgb	0.8419	0.8425	1:3318532	0.9983	NA
11	hct, hgb	0.8419	0.8425	1:3318532	0.9983	NA
11	hct, hgb	0.8419	0.8425	1:3318532	0.9983	NA
15	hct, hgb	0.8419	0.8425	1:3318532	0.9983	NA
1	bipolar, SCZ	0.89	1	13:109221219	1	NA
4	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc	0.798	0.8217	13:110454006	0.4676	NA
2	bipolar, T2D	0.8757	0.9126	1:31402148	0.7389	NA
3	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc	0.9832	0.9925	1:31231680	0.9646	NA
2	bipolar, T2D	0.876	0.9152	1:31402148	0.6803	NA
3	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc	0.9832	0.9925	1:31231680	0.9646	NA
2	bipolar, T2D	0.9218	0.947	1:31510263	0.9817	NA
1	bipolar, SCZ	0.9164	1	13:19626818	0.9646	NA
6	ibd, uc	0.9845	1	13:27542030	0.5829	NA
1	bipolar, SCZ	0.9998	1	13:28148726	1	NA
1	bipolar, SCZ	0.9998	1	13:28148726	1	NA
3	hct, hgb, rbc	0.9754	0.9943	13:29230581	0.9175	NA
3	hct, hgb, rbc	0.9552	0.9936	13:29230581	0.6806	NA
9	cad, UKBB_sbp	0.9974	1	1:3329384	0.5727	NA
13	hct, hgb	0.8421	0.8427	1:3318532	0.9983	NA
3	cad, mch, mcv, mpv, plt, BMI	0.944	0.9723	13:33101817	0.9566	NA
4	Klarin_LDL, Klarin_TC	0.7901	0.8032	13:32990780	0.4833	NA
5	eo_p, eo_p_gran, neut_p_gran	0.9037	0.9517	13:32748881	0.5169	NA
4	eo_p, eo_p_gran, neut_p_gran	0.9047	0.9518	13:32748881	0.5169	NA
5	Klarin_LDL, Klarin_TC	0.7825	0.7979	13:32990780	0.4747	NA
4	eo_p, eo_p_gran, neut_p_gran	0.9047	0.9518	13:32748881	0.5169	NA
5	Klarin_LDL, Klarin_TC	0.7825	0.7979	13:32990780	0.4747	NA
1	bipolar, SCZ	1	1	13:32920618	1	NA
3	Klarin_LDL, Klarin_TC	0.7807	0.7976	13:32990780	0.4746	NA
1	bipolar, SCZ	1	1	13:32920618	1	NA
3	Klarin_LDL, Klarin_TC	0.7807	0.7976	13:32990780	0.4746	NA
3	eo_p, eo_p_gran, neut_p_gran	0.9849	0.9998	13:40362229	0.7084	NA
1	gran_p_myeloid_wbc, lymph_p, mono, mono_p, neut_p	0.9905	0.9992	13:41244260	1	NA
4	eo_p, eo_p_gran, hlr, lymph, mch, mcv, neut_p_gran, ret, Asthma	0.7554	0.7799	13:41246758	1	NA
5	Klarin_LDL, Klarin_TC	0.854	0.8558	13:41495245	0.9767	NA
6	pct, plt	0.9713	0.992	13:41584690	0.9098	NA
1	bipolar, SCZ	0.9998	1	13:42669014	0.9995	NA
1	bipolar, SCZ	0.953	1	13:42888230	0.9996	NA
3	crohns, ibd	0.9922	0.9999	13:44475398	0.3656	NA
3	crohns, ibd	0.9922	0.9999	13:44475398	0.3656	NA
3	crohns, ibd	0.9922	0.9999	13:44475398	0.3656	NA
1	bipolar, SCZ	1	1	13:45415193	1	NA
2	hlr, hlr_p, irf, lymph, lymph_p, ret, ret_p	0.8553	0.8614	13:45503333	0.7186	NA
1	bipolar, SCZ	1	1	13:45415193	1	NA
2	hlr, hlr_p, irf, lymph, lymph_p, ret, ret_p	0.8553	0.8614	13:45503333	0.7186	NA
3	crohns, ibd	0.7547	0.7616	13:46439502	0.6833	NA
1	bipolar, SCZ	0.881	1	13:47103703	1	NA
2	mpv, pdw	0.8345	0.9995	13:47240933	0.4907	NA
1	bipolar, SCZ	0.881	1	13:47103703	1	NA
2	mpv, pdw	0.8345	0.9995	13:47240933	0.4907	NA
1	bipolar, SCZ	0.9744	1	1:34734066	0.9976	NA
1	bipolar, SCZ	0.9586	1	13:48271941	0.9616	NA
3	baso_neut_sum, gran, lymph_p, mono, myeloid_wbc, neut, neut_eo_sum, wbc	0.8737	0.9422	13:50134358	0.5132	NA
8	Klarin_LDL, Klarin_TC	0.913	0.9182	13:50198158	0.7974	NA
3	baso_neut_sum, gran, lymph_p, mono, myeloid_wbc, neut, neut_eo_sum, wbc	0.8736	0.9422	13:50134358	0.5132	NA
4	hlr, hlr_p, irf, ret, ret_p	0.7884	0.8135	13:50354728	0.6743	NA
9	Klarin_LDL, Klarin_TC	0.913	0.9182	13:50198158	0.7974	NA
5	hlr, hlr_p, irf, ret, ret_p	0.7907	0.8135	13:50354728	0.6743	NA
4	eo_p, eo_p_gran, neut_p_gran, WHRadjBMI, Eczema	0.7377	0.7646	13:50842440	0.9234	NA
5	BrCaC, hlr, hlr_p, ret, ret_p	0.7648	0.7805	13:50468730	0.5846	NA
4	eo_p, eo_p_gran, neut_p_gran, WHRadjBMI, Eczema	0.7394	0.7646	13:50842440	0.9234	NA
4	eo_p, eo_p_gran, neut_p_gran, WHRadjBMI, Eczema	0.7394	0.7646	13:50842440	0.9234	NA
1	bipolar, SCZ	1	1	13:65959302	1	NA
1	bipolar, SCZ	1	1	13:65959302	1	NA
1	bipolar, SCZ	1	1	13:70700426	1	NA
1	bipolar, SCZ	1	1	13:70700426	1	NA
2	bipolar, DepAffect, SCZ, Worry	0.7565	0.9853	1:37196958	1	NA
1	bipolar, DepAffect, SCZ, Worry	0.7565	0.9853	1:37196958	1	NA
1	bipolar, DepAffect, SCZ, Worry	0.7565	0.9853	1:37196958	1	NA
1	bipolar, DepAffect, SCZ, Worry	0.7565	0.9853	1:37196958	1	NA
1	bipolar, DepAffect, SCZ, Worry	0.7565	0.9853	1:37196958	1	NA
2	baso_neut_sum, gran, gran_p_myeloid_wbc, Klarin_HDL, lymph_p, mono_p, myeloid_wbc, neut, neut_eo_sum, neut_p, wbc	0.7079	0.7087	1:36958213	1	NA
1	bipolar, DepAffect, SCZ, Worry	0.7565	0.9853	1:37196958	1	NA
2	baso_neut_sum, gran, gran_p_myeloid_wbc, Klarin_HDL, lymph_p, mono_p, myeloid_wbc, neut, neut_eo_sum, neut_p, wbc	0.708	0.7087	1:36958213	1	NA
1	bipolar, DepAffect, SCZ, Worry	0.7565	0.9853	1:37196958	1	NA
2	baso_neut_sum, gran, gran_p_myeloid_wbc, Klarin_HDL, lymph_p, mono_p, myeloid_wbc, neut, neut_eo_sum, neut_p, wbc	0.708	0.7087	1:36958213	1	NA
1	bipolar, DepAffect, SCZ, Worry	0.7565	0.9853	1:37196958	1	NA
2	baso_neut_sum, gran, gran_p_myeloid_wbc, Klarin_HDL, lymph_p, mono_p, myeloid_wbc, neut, neut_eo_sum, neut_p, wbc	0.7081	0.7087	1:36958213	1	NA
1	bipolar, DepAffect, SCZ, Worry	0.7565	0.9853	1:37196958	1	NA
2	baso_neut_sum, gran, gran_p_myeloid_wbc, Klarin_HDL, lymph_p, mono_p, myeloid_wbc, neut, neut_eo_sum, neut_p, wbc	0.7082	0.7087	1:36958213	1	NA
1	bipolar, DepAffect, SCZ, Worry	0.7565	0.9853	1:37196958	1	NA
2	baso_neut_sum, gran, lymph_p, myeloid_wbc, neut, neut_eo_sum, neut_p, wbc	0.9175	0.9233	1:36976253	1	NA
1	bipolar, pct, plt, SCZ	0.7591	0.8392	13:72366166	1	NA
1	bipolar, DepAffect, Worry	0.7796	0.9884	1:37198130	0.9166	NA
1	bipolar, DepAffect, Worry	0.7796	0.9884	1:37198130	0.9166	NA
1	bipolar, SCZ	0.8833	1	13:79739129	0.9994	NA
1	Klarin_HDL, SCZ	0.8439	0.8473	13:80747701	1	NA
1	bipolar, SCZ	0.9636	1	1:39361615	0.967	NA
1	bipolar, SCZ	0.9636	1	1:39361615	0.967	NA
1	bipolar, SCZ	0.9647	1	1:39361615	0.967	NA
2	Klarin_HDL, Klarin_TG, mch, mchc, mcv, rdw, T2D	0.7128	0.7847	1:39814960	0.9872	NA
1	pct, plt	0.9888	1	13:95896321	0.2631	NA
1	pct, plt	0.9888	1	13:95896321	0.2631	NA
1	Klarin_HDL, Klarin_TG, T2D	0.9323	1	1:39814960	0.667	NA
1	bipolar, SCZ	1	1	13:97973721	1	NA
1	bipolar, SCZ	1	1	13:97973721	1	NA
1	bipolar, SCZ	1	1	13:99994030	1	NA
7	crohns, ibd	0.9137	0.9585	13:99989538	0.1534	NA
2	mch, rdw, T2D	0.9369	1	1:40018509	0.684	NA
4	Klarin_HDL, Klarin_TG, mchc, mcv, pct	0.7151	0.7898	1:40018509	0.6841	NA
5	pct, plt	0.8898	0.9081	14:101067773	0.271	NA
3	pct, plt, T2D	0.9899	0.9961	14:101124721	1	NA
3	Klarin_HDL, mch, mcv, mpv, pct, pdw, plt	0.7747	0.9639	14:101182470	0.9995	NA
3	Klarin_HDL, mch, mcv, mpv, pct, pdw, plt	0.7747	0.9639	14:101182470	0.9995	NA
3	Klarin_HDL, mch, mcv, mpv, pct, pdw, plt	0.7747	0.9639	14:101182470	0.9995	NA
3	Klarin_HDL, mch, mcv, mpv, pct, pdw, plt	0.7747	0.9639	14:101182470	0.9995	NA
1	bipolar, SCZ	0.893	1	14:102398267	1	NA
3	pct, plt	0.983	0.9993	14:102515171	0.7635	NA
4	Klarin_HDL, lymph, lymph_p, neut_p, T2D	0.8473	0.9255	14:103306215	0.9194	NA
1	bipolar, SCZ	1	1	14:103778643	1	NA
2	mpv, pct, pdw, plt	0.9283	0.9321	14:103566785	0.9956	NA
3	Klarin_HDL, lymph, lymph_p, neut_p, T2D	0.8215	0.897	14:103382038	0.8377	NA
1	bipolar, SCZ	1	1	14:103778643	1	NA
3	cad, hlr, hlr_p, lymph, ret, ret_p, wbc	0.8705	0.9213	14:104000518	0.5283	NA
4	gran_p_myeloid_wbc, mono	0.9946	1	14:104020454	0.6978	NA
5	mpv, plt	0.8311	0.8323	14:103584674	0.9996	NA
3	crohns, ibd, mono_p, T2D	0.9664	0.9825	14:104003094	0.5868	NA
4	cad, hlr, hlr_p, lymph, ret, ret_p, wbc	0.8697	0.9213	14:104000518	0.5283	NA
5	gran_p_myeloid_wbc, mono	0.9945	1	14:104020454	0.6977	NA
7	hct, hgb, Klarin_TG, rbc	0.8435	0.8529	14:104222892	0.8588	NA
3	crohns, ibd, mono_p, T2D	0.9664	0.9825	14:104003094	0.5868	NA
4	cad, hlr, hlr_p, lymph, ret, ret_p, wbc	0.8697	0.9213	14:104000518	0.5283	NA
5	gran_p_myeloid_wbc, mono	0.9945	1	14:104020454	0.6977	NA
7	hct, hgb, Klarin_TG, rbc	0.8431	0.8529	14:104222892	0.8588	NA
3	crohns, ibd, mono_p, T2D	0.9664	0.9825	14:104003094	0.5868	NA
4	cad, hlr, hlr_p, lymph, ret, ret_p, wbc	0.8697	0.9213	14:104000518	0.5283	NA
5	gran_p_myeloid_wbc, mono	0.9945	1	14:104020454	0.6977	NA
7	hct, hgb, Klarin_TG, rbc	0.843	0.8529	14:104222892	0.8588	NA
3	crohns, ibd, mono_p, T2D	0.9664	0.9825	14:104003094	0.5868	NA
4	cad, hlr, hlr_p, lymph, ret, ret_p, wbc	0.8697	0.9213	14:104000518	0.5283	NA
5	gran_p_myeloid_wbc, mono	0.9945	1	14:104020454	0.6977	NA
7	hct, hgb, Klarin_TG, rbc	0.8695	0.8831	14:104261723	0.6935	NA
3	crohns, ibd, mono_p, T2D	0.9664	0.9825	14:104003094	0.5868	NA
4	cad, hlr, hlr_p, lymph, ret, ret_p, wbc	0.8697	0.9213	14:104000518	0.5283	NA
5	gran_p_myeloid_wbc, mono	0.9945	1	14:104020454	0.6977	NA
7	hct, hgb, Klarin_TG, rbc	0.8754	0.8934	14:104266664	0.6146	NA
3	crohns, ibd, mono_p, T2D	0.9664	0.9825	14:104003094	0.5868	NA
4	cad, hlr, hlr_p, lymph, ret, ret_p, wbc	0.8697	0.9213	14:104000518	0.5283	NA
5	gran_p_myeloid_wbc, mono	0.9945	1	14:104020454	0.6977	NA
7	hct, hgb, Klarin_TG, rbc	0.8754	0.8934	14:104266664	0.6146	NA
3	crohns, ibd, mono_p, T2D	0.9664	0.9825	14:104003094	0.5868	NA
4	cad, hlr, hlr_p, lymph, ret, ret_p, wbc	0.8697	0.9213	14:104000518	0.5283	NA
5	gran_p_myeloid_wbc, mono	0.9945	1	14:104020454	0.6977	NA
7	hct, hgb, Klarin_TG, rbc	0.8754	0.8934	14:104266664	0.6146	NA
3	crohns, ibd, mono_p, T2D	0.9664	0.9825	14:104003094	0.5868	NA
4	cad, hlr, hlr_p, lymph, ret, ret_p, wbc	0.8696	0.9213	14:104000518	0.5283	NA
5	gran_p_myeloid_wbc, mono	0.9945	1	14:104020454	0.6977	NA
6	hct, hgb, Klarin_TG, rbc	0.8591	0.8941	14:104286210	0.3207	NA
3	crohns, ibd, mono_p, T2D	0.9664	0.9825	14:104003094	0.5868	NA
4	cad, hlr, hlr_p, lymph, ret, ret_p, wbc	0.8696	0.9213	14:104000518	0.5283	NA
5	gran_p_myeloid_wbc, mono	0.9945	1	14:104020454	0.6977	NA
6	hct, hgb, Klarin_TG, rbc	0.8591	0.8941	14:104286210	0.3207	NA
3	crohns, ibd, mono_p, T2D	0.9664	0.9825	14:104003094	0.5868	NA
4	cad, hlr, hlr_p, lymph, ret, ret_p, wbc	0.8695	0.9213	14:104000518	0.5283	NA
5	gran_p_myeloid_wbc, mono	0.9945	1	14:104020454	0.6977	NA
6	hct, hgb, Klarin_TG, rbc	0.8435	0.9004	14:104315491	0.1969	NA
3	crohns, ibd, mono_p, T2D	0.9664	0.9825	14:104003094	0.5868	NA
4	cad, hlr, hlr_p, lymph, ret, ret_p, wbc	0.8695	0.9213	14:104000518	0.5283	NA
5	gran_p_myeloid_wbc, mono	0.9945	1	14:104020454	0.6977	NA
6	hct, hgb, Klarin_TG, rbc	0.8435	0.9004	14:104315491	0.1969	NA
4	gran_p_myeloid_wbc, mono, mono_p	0.9831	1	14:104054572	0.847	NA
1	bipolar, SCZ	1	1	14:104291330	1	NA
3	gran_p_myeloid_wbc, mono_p	0.8272	0.8295	1:41343061	0.9572	NA
3	gran_p_myeloid_wbc, mono_p	0.8272	0.8295	1:41343061	0.9572	NA
3	gran_p_myeloid_wbc, mono_p	0.8273	0.8296	1:41343061	0.9572	NA
1	bipolar, SCZ	1	1	1:41842350	1	NA
1	bipolar, SCZ	1	1	1:41842350	1	NA
1	bipolar, SCZ	1	1	1:41842350	1	NA
1	bipolar, SCZ	1	1	1:41842350	1	NA
1	bipolar, SCZ	1	1	1:41842350	1	NA
1	bipolar, SCZ	1	1	1:41842350	1	NA
1	bipolar, SCZ	1	1	1:41842350	1	NA
1	bipolar, SCZ	1	1	1:41842350	1	NA
1	bipolar, SCZ	1	1	1:41842350	1	NA
1	bipolar, SCZ	1	1	1:41842350	1	NA
1	bipolar, SCZ	1	1	1:41842350	1	NA
1	bipolar, SCZ	1	1	1:41842350	1	NA
1	bipolar, SCZ	1	1	1:41842350	1	NA
1	bipolar, SCZ	1	1	1:41842350	1	NA
3	hct, hgb, pct, plt, rbc, wbc, T2D	0.7225	0.7313	14:21565189	1	NA
1	eo_p, eo_p_gran, gran_p_myeloid_wbc, mono, mono_p, neut_p, neut_p_gran	0.9989	0.9999	14:23589057	1	NA
3	hlr, hlr_p, irf, rdw, ret, ret_p	0.9937	1	14:23494277	0.6967	NA
5	mch, mcv	0.9975	1	14:23495048	0.5216	NA
6	baso, baso_p, baso_p_gran	0.9863	1	14:23585333	0.6864	NA
1	eo_p, eo_p_gran, gran_p_myeloid_wbc, mono, mono_p, neut_p, neut_p_gran	0.9989	0.9999	14:23589057	1	NA
3	hlr, hlr_p, irf, rdw, ret, ret_p	0.9937	1	14:23494277	0.6967	NA
5	mch, mcv	0.9975	1	14:23495048	0.5216	NA
6	baso, baso_p, baso_p_gran	0.9863	1	14:23585333	0.6864	NA
1	T2D, BMI	0.9286	0.9941	14:25928179	0.9998	NA
1	bipolar, SCZ	0.9919	1	14:27326991	1	NA
1	bipolar, SCZ	0.9973	1	14:29733102	0.6366	NA
1	bipolar, SCZ	0.9973	1	14:29733102	0.6366	NA
1	bipolar, SCZ	0.9973	1	14:29733102	0.6366	NA
1	bipolar, SCZ	0.9973	1	14:29733102	0.6366	NA
1	bipolar, SCZ	0.9973	1	14:29733102	0.6366	NA
1	bipolar, SCZ	0.9973	1	14:29733102	0.6366	NA
1	bipolar, SCZ	0.9973	1	14:29733102	0.6366	NA
1	bipolar, SCZ	0.9996	1	14:30190833	1	NA
1	bipolar, SCZ	0.9996	1	14:30190833	1	NA
1	bipolar, SCZ	0.9996	1	14:30190833	1	NA
1	bipolar, SCZ	0.9996	1	14:30190833	1	NA
1	bipolar, SCZ	0.9996	1	14:30190833	1	NA
1	bipolar, SCZ	0.9996	1	14:30190833	1	NA
3	hct, hgb, rbc	0.9903	0.998	14:34645544	0.687	NA
1	eo_p, eo_p_gran, neut_p_gran	0.9881	0.9969	14:35884639	0.6956	NA
1	eo_p, eo_p_gran, neut_p_gran	0.9881	0.9969	14:35884639	0.6956	NA
3	mch, mcv, rbc	0.9739	0.9991	14:37846877	0.949	NA
3	mch, mcv, rbc	0.9739	0.9991	14:37846877	0.949	NA
3	mch, mcv, rbc	0.9911	0.9992	14:37846877	0.9902	NA
3	mch, mcv, rbc	0.9944	0.9974	14:37911444	1	NA
4	pct, plt	0.9937	0.9989	1:43849917	0.5947	NA
4	pct, plt	0.9937	0.9989	1:43849917	0.5947	NA
4	pct, plt	0.9937	0.9989	1:43849917	0.5947	NA
4	pct, plt	0.9937	0.9989	1:43849917	0.5947	NA
4	pct, plt	0.9937	0.9989	1:43849917	0.5947	NA
4	pct, plt	0.9937	0.9989	1:43849917	0.5947	NA
4	pct, plt	0.9937	0.9989	1:43849917	0.5947	NA
4	pct, plt	0.9937	0.9989	1:43849917	0.5947	NA
4	pct, plt	0.9944	0.9989	1:43849917	0.5955	NA
4	pct, plt	0.9944	0.9989	1:43849917	0.5955	NA
5	pct, plt	0.996	0.9985	1:44005928	0.5767	NA
4	pct, plt	0.9954	0.9984	1:44005928	0.5765	NA
1	SCZ, Worry	0.8224	0.9373	14:41847254	0.9983	NA
1	bipolar, mcv, rbc	0.8018	0.9107	1:44124703	1	NA
4	pct, plt	0.9939	0.9973	1:44005928	0.9193	NA
9	hct, hgb	0.9367	0.9636	1:44062154	0.344	NA
1	bipolar, mcv, rbc	0.8019	0.9107	1:44124703	1	NA
4	pct, plt	0.9939	0.9973	1:44005928	0.9193	NA
9	hct, hgb	0.9367	0.9636	1:44062154	0.344	NA
1	bipolar, mcv, rbc	0.8027	0.9107	1:44124703	1	NA
4	pct, plt	0.9939	0.9973	1:44005928	0.9193	NA
9	hct, hgb	0.9368	0.9636	1:44062154	0.344	NA
1	bipolar, mcv, rbc	0.8034	0.9107	1:44124703	1	NA
4	pct, plt	0.9939	0.9973	1:44005928	0.9193	NA
9	hct, hgb	0.9403	0.9648	1:44062154	0.3495	NA
1	bipolar, mcv, rbc	0.8049	0.9107	1:44124703	1	NA
4	pct, plt	0.9939	0.9973	1:44005928	0.9193	NA
9	hct, hgb	0.9418	0.9654	1:44062154	0.351	NA
3	mpv, UKBB_sbp	0.9436	0.9439	14:51201711	1	NA
3	mch, mcv, mpv	0.8262	0.8596	14:55412869	0.9844	NA
3	pct, pdw, plt	0.8327	1	1:45920406	0.6881	NA
6	irf, mpv	0.9768	1	1:45820164	0.8603	NA
1	bipolar, SCZ	1	1	14:60686467	1	NA
1	bipolar, SCZ	0.9996	1	14:63395660	1	NA
1	hct, hgb, rbc, SCZ	0.9997	1	14:64703593	1	NA
3	lymph, lymph_p, neut_p	0.9847	0.9999	14:64926097	0.6281	NA
4	mpv, rdw	0.9755	0.9827	14:64467727	0.3337	NA
1	hct, hgb, rbc, SCZ	0.9997	1	14:64703593	1	NA
3	lymph, lymph_p, neut_p	0.9479	0.9998	14:64926097	0.3821	NA
4	mpv, rdw	0.9755	0.9827	14:64467727	0.3337	NA
1	bipolar, SCZ	0.9985	1	14:65860038	1	NA
2	mch, mchc, mcv, mpv, rbc	0.9255	0.9596	14:65555471	0.9979	NA
4	pct, plt	1	1	14:65799876	1	NA
6	eo_p, eo_p_gran, neut_p_gran	0.8153	0.8295	14:65612048	0.6443	NA
1	bipolar, SCZ	0.9932	1	14:65860038	1	NA
2	pct, plt	1	1	14:65799876	1	NA
1	bipolar, SCZ	1	1	14:67701168	1	NA
2	hlr, hlr_p, ret, ret_p	0.8674	0.8896	14:67463012	0.9161	NA
4	pct, pdw, plt	0.7984	0.9997	1:46609736	1	NA
5	crohns, ibd, uc, Worry	0.7192	0.7219	1:46499526	1	NA
1	pct, plt, rbc	0.8803	1	14:68463352	0.253	NA
4	hct, hgb, mch, mcv, mpv, pct, plt, rbc	0.8705	0.9807	14:68519188	0.4488	NA
4	hct, hgb, mch, mcv, mpv, pct, plt, rbc, UKBB_brca	0.8959	0.977	14:68599492	0.9642	NA
2	crohns, ibd, uc	0.9413	0.9709	14:69281878	0.5875	NA
7	cad, DepAffect, T2D	0.7514	0.8229	14:69450505	0.9772	NA
2	crohns, ibd, uc	0.9413	0.9709	14:69281878	0.5875	NA
7	cad, DepAffect, T2D	0.7005	0.8202	14:69450505	0.9764	NA
3	pct, pdw, plt	0.7098	0.7536	14:69452088	0.9983	NA
4	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc	0.8393	0.8403	14:69821558	1	NA
3	pct, pdw, plt	0.7105	0.7536	14:69452088	0.9983	NA
4	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc	0.8395	0.8403	14:69821558	1	NA
3	pct, pdw, plt	0.7105	0.7536	14:69452088	0.9983	NA
4	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc	0.8395	0.8403	14:69821558	1	NA
3	hct, hgb, rbc	0.8903	0.9078	1:46810530	0.6449	NA
1	bipolar, SCZ	0.995	1	14:70559421	0.8935	NA
2	mch, mcv, rdw	0.9976	0.9987	14:70354858	0.9995	NA
4	hct, rbc	0.9318	0.949	14:73294981	0.3522	NA
4	hct, rbc	0.9318	0.949	14:73294981	0.3522	NA
4	hct, rbc	0.9316	0.9489	14:73294981	0.3522	NA
1	bipolar, Worry	0.814	1	14:75164141	1	NA
3	DepAffect, mono, pct, plt	0.9383	0.9676	14:75234101	0.8097	NA
1	bipolar, Worry	0.814	1	14:75164141	1	NA
3	DepAffect, mono, pct, plt	0.9383	0.9676	14:75234101	0.8097	NA
1	bipolar, Worry	0.814	1	14:75164141	1	NA
3	DepAffect, mono, pct, plt	0.9383	0.9676	14:75234101	0.8097	NA
1	SCZ, Worry	0.8389	1	14:75278211	0.8969	NA
3	DepAffect, mono, pct, plt	0.8698	0.9602	14:75253847	0.2469	NA
1	SCZ, Worry	0.9088	1	14:75353855	1	NA
3	DepAffect, mono, pct, plt	0.8497	0.9607	14:75253847	0.2398	NA
1	SCZ, Worry	0.8969	1	14:75353855	0.9991	NA
3	DepAffect, mono, pct, plt	0.8403	0.9607	14:75253847	0.2392	NA
1	SCZ, Worry	0.8968	1	14:75353855	0.9991	NA
3	DepAffect, mono, pct, plt	0.8365	0.9607	14:75253847	0.239	NA
1	SCZ, Worry	0.8968	1	14:75353855	0.9991	NA
3	DepAffect, mono, pct, plt	0.8283	0.9607	14:75253847	0.239	NA
1	SCZ, Worry	0.8968	1	14:75353855	0.9991	NA
3	DepAffect, mono, pct, plt	0.8283	0.9607	14:75253847	0.239	NA
1	SCZ, Worry	0.8968	1	14:75353855	0.9991	NA
3	DepAffect, mono, pct, plt	0.8144	0.9607	14:75253847	0.239	NA
1	SCZ, Worry	0.8968	1	14:75353855	0.9991	NA
3	DepAffect, mono, pct, plt	0.814	0.9607	14:75253847	0.239	NA
1	SCZ, Worry	0.8968	1	14:75353855	0.9991	NA
3	DepAffect, mono, pct, plt	0.814	0.9607	14:75253847	0.239	NA
1	SCZ, Worry	0.8968	1	14:75353855	0.9991	NA
3	DepAffect, mono, pct, plt	0.8136	0.9607	14:75253847	0.239	NA
1	SCZ, Worry	0.8968	1	14:75353855	0.9991	NA
3	DepAffect, mono, pct, plt	0.8136	0.9607	14:75253847	0.239	NA
1	SCZ, Worry	0.8968	1	14:75353855	0.9991	NA
3	DepAffect, mono, pct, plt	0.8136	0.9607	14:75253847	0.239	NA
1	SCZ, Worry	0.8968	1	14:75353855	0.9991	NA
3	DepAffect, mono, pct, plt	0.8133	0.9607	14:75253847	0.239	NA
1	SCZ, Worry	0.9031	1	14:75353855	0.9991	NA
3	DepAffect, mono, pct, plt	0.8132	0.9607	14:75253847	0.239	NA
1	SCZ, Worry	0.922	1	14:75353855	0.9991	NA
3	DepAffect, mono, pct, plt	0.8132	0.9607	14:75253847	0.239	NA
1	SCZ, Worry	0.922	1	14:75353855	0.9991	NA
3	DepAffect, mono, pct, plt	0.8132	0.9607	14:75253847	0.239	NA
1	SCZ, Worry	0.9435	1	14:75353855	0.9991	NA
3	DepAffect, mono, pct, plt	0.8132	0.9607	14:75253847	0.239	NA
1	SCZ, BMI	0.9951	1	14:79899454	1	NA
1	SCZ, BMI	0.9951	1	14:79899454	1	NA
1	SCZ, BMI	0.9951	1	14:79899454	1	NA
1	SCZ, BMI	0.9951	1	14:79899454	1	NA
3	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc	0.7761	0.8084	14:81682392	0.3179	NA
8	pct, plt	0.9908	0.9949	14:81884857	0.7212	NA
1	bipolar, SCZ	1	1	14:91487598	1	NA
3	mpv, pdw	0.9761	1	14:92279983	0.7092	NA
3	mpv, pdw	0.9761	1	14:92279983	0.7092	NA
3	mpv, pdw	0.9761	1	14:92279983	0.7092	NA
3	mpv, pdw	0.9761	1	14:92279983	0.7092	NA
3	mpv, pdw	0.9761	1	14:92279983	0.7092	NA
3	baso_neut_sum, eo_p, gran, lymph_p, mono, myeloid_wbc, neut, neut_eo_sum, neut_p, wbc	0.8269	0.8553	14:93014489	0.7397	NA
4	AlzD, pdw	0.905	0.9623	14:92936600	0.1862	NA
14	crohns, ibd	0.7557	0.778	14:93453676	0.4814	NA
14	crohns, ibd	0.7559	0.7781	14:93453676	0.4814	NA
14	crohns, ibd	0.7559	0.7781	14:93453676	0.4814	NA
4	Klarin_LDL, Klarin_TC	0.9931	0.9946	14:94813402	0.9059	NA
4	Klarin_LDL, Klarin_TC	0.9931	0.9946	14:94813402	0.9059	NA
1	bipolar, SCZ	1	1	14:97589564	1	NA
6	hct, hgb	0.9131	0.9276	1:50918388	0.2299	NA
1	bipolar, Klarin_TG, UKBB_brca	0.8018	0.9022	1:51458009	1	NA
1	bipolar, SCZ	0.9943	1	15:28291812	0.6462	NA
3	mch, mcv, rdw	0.7986	0.8058	15:32995298	0.9878	NA
3	mch, mcv, rdw	0.7986	0.8058	15:32995298	0.9878	NA
1	mono, mono_p	0.9392	0.9894	1:53217335	0.2894	NA
3	hct, hgb, rbc	0.899	0.9806	15:33391788	0.3096	NA
1	bipolar, SCZ	0.9942	1	15:36015136	1	NA
4	hlr, ret, ret_p	0.9335	0.9396	15:40325860	0.9977	NA
4	hlr, ret, ret_p	0.9335	0.9396	15:40325860	0.9977	NA
3	hct, hgb	0.9569	0.9754	15:42786160	0.2202	NA
3	hct, hgb	0.9569	0.9754	15:42786160	0.2202	NA
4	eo_p, eo_p_gran, neut_p_gran	0.9034	0.992	15:43643901	0.21	NA
5	Klarin_HDL, Klarin_TG	0.8686	0.8717	15:43622265	0.985	NA
5	Klarin_HDL, Klarin_TG	0.8718	0.8742	15:43622265	0.9881	NA
5	Klarin_HDL, Klarin_TG	0.8718	0.8742	15:43622265	0.9881	NA
